DATE,LTOTALNSA
5/1/2007,1558.722
6/1/2007,1450.15
7/1/2007,1304.27
8/1/2007,1471.223
9/1/2007,1310.451
10/1/2007,1226.589
11/1/2007,1175.363
12/1/2007,1384.414
1/1/2008,1039.126
2/1/2008,1171.68
3/1/2008,1351.539
4/1/2008,1243.507
5/1/2008,1392.824
6/1/2008,1185.273
7/1/2008,1132.262
8/1/2008,1246.798
9/1/2008,962.306
10/1/2008,834.592
11/1/2008,743.609
12/1/2008,891.318
1/1/2009,654.893
2/1/2009,687.174
3/1/2009,855.181
4/1/2009,817.325
5/1/2009,923.902
6/1/2009,857.425
7/1/2009,995.699
8/1/2009,1260.07
9/1/2009,744.198
10/1/2009,835.691
11/1/2009,744.478
12/1/2009,1026.256
1/1/2010,696.571
2/1/2010,778.457
3/1/2010,1063.632
4/1/2010,980.424
5/1/2010,1100.755
6/1/2010,981.288
7/1/2010,1047.006
8/1/2010,994.326
9/1/2010,955.942
10/1/2010,946.613
11/1/2010,869.68
12/1/2010,1140.13
1/1/2011,818.138
2/1/2011,987.943
3/1/2011,1251.321
4/1/2011,1150.473
5/1/2011,1056.136
6/1/2011,1043.754
7/1/2011,1062.411
8/1/2011,1066.797
9/1/2011,1048.697
10/1/2011,1019.196
11/1/2011,1002.05
12/1/2011,1234.9
1/1/2012,913.876
2/1/2012,1148.86
3/1/2012,1402.165
4/1/2012,1175.666
5/1/2012,1338.04
6/1/2012,1279.747
7/1/2012,1142.849
8/1/2012,1274.98
9/1/2012,1179.645
10/1/2012,1090.298
11/1/2012,1144.02
12/1/2012,1343.057
1/1/2013,1040.808
2/1/2013,1193.022
3/1/2013,1453.654
4/1/2013,1283.203
5/1/2013,1442.909
6/1/2013,1394.274
7/1/2013,1306.247
8/1/2013,1498.663
9/1/2013,1124.263
10/1/2013,1201.662
11/1/2013,1243.666
12/1/2013,1347.73
1/1/2014,1016.377
2/1/2014,1194.307
3/1/2014,1530.482
4/1/2014,1373.829
5/1/2014,1610.603
6/1/2014,1417.619
7/1/2014,1437.616
8/1/2014,1571.672
9/1/2014,1235.539
10/1/2014,1273.698
11/1/2014,1294.106
12/1/2014,1496.342
1/1/2015,1147.713
2/1/2015,1254.518
3/1/2015,1542.349
4/1/2015,1444.196
5/1/2015,1632.551
6/1/2015,1476.226
7/1/2015,1507.094
8/1/2015,1560.371
9/1/2015,1438.495
10/1/2015,1448.641
11/1/2015,1324.585
12/1/2015,1631.252
1/1/2016,1157.949
2/1/2016,1341.875
3/1/2016,1574.683
4/1/2016,1490.764
5/1/2016,1519.653
6/1/2016,1514.078
